"R</ ""evil""",0.246
"NFJ>/ ""chief""",0.232
">JC/ ""man""",0.23
"PR<H/ ""pharaoh""",0.229
"PLCTJ/ ""Philistine""",0.214
"FR/ ""chief""",0.209
"MLK/ ""king""",0.209
"BN/ ""son""",0.208
"<BD/ ""servant""",0.207
"N<R/ ""boy""",0.196
"ML>K/ ""messenger""",0.193
">M/ ""mother""",0.191
"VB<T/ ""sealing ring""",0.183
"<M/ ""people""",0.176
"QHL/ ""assembly""",0.159
"DRK/ ""way""",0.158
"GLWLJM/ ""idols""",0.158
">X/ ""brother""",0.154
"XRB/ ""dagger""",0.154
"XJH/ ""wild animal""",0.153
">B/ ""father""",0.146
">CH/ ""woman""",0.142
"BJT/ ""house""",0.141
">RWN/ ""ark""",0.141
"TWRH/ ""instruction""",0.141
"<BDH/ ""work""",0.138
">WT/ ""sign""",0.137
"R<H/ ""evil""",0.137
"KBWD/ ""weight""",0.131
"<DH/ ""gathering""",0.13
">PD/ ""ephod""",0.129
"KHN/ ""priest""",0.128
"BT/ ""daughter""",0.123
"QDC/ ""holiness""",0.121
">DM/ ""human, mankind""",0.121
"KKR/ ""disk""",0.121
"<Y/ ""tree""",0.118
"GBWR/ ""vigorous""",0.118
"C>RJT/ ""rest""",0.115
"DBR/ ""word""",0.113
">CRH/ ""asherah""",0.108
"GWJ/ ""people""",0.107
"MLXMH/ ""war""",0.106
"ZQN/ ""old""",0.1
"JHWDJ/ ""Jewish""",0.098
"SPR/ ""letter""",0.098
"CLXN/ ""table""",0.098
"MKWNH/ ""place""",0.097
"SWS/ ""horse""",0.097
"KRWB/ ""cherub""",0.097
"XJL/ ""power""",0.097
"JLD/ ""boy""",0.095
">RY/ ""earth""",0.095
"<LH/ ""burnt-offering""",0.094
"MYWH/ ""commandment""",0.094
">WB/ ""spirit of dead""",0.092
"JD<NJ/ ""soothsayer""",0.092
"ML>KH/ ""work""",0.091
"M<FH/ ""deed""",0.091
"<JR/ ""town""",0.09
"B<L/ ""lord, baal""",0.09
"JM/ ""sea""",0.088
"LWJ/ ""Levite""",0.087
"R>C/ ""head""",0.086
"XV>T/ ""sin""",0.086
"MCPV/ ""justice""",0.086
"MNXH/ ""present""",0.085
"PNH/ ""face""",0.085
"XYR/ ""court""",0.084
"KSP/ ""silver""",0.082
"FQ/ ""sack""",0.082
"KJWR/ ""basin""",0.081
"MQWM/ ""place""",0.081
"XKMH/ ""wisdom""",0.081
"BD/ ""linen, part, stave""",0.081
">WYR/ ""supply""",0.08
"CBV/ ""rod""",0.078
"BGD/ ""garment""",0.077
"SRJS/ ""official""",0.076
"KTNT/ ""tunic""",0.075
"PRC/ ""horseman""",0.073
"MCKN/ ""dwelling-place""",0.073
"JD/ ""hand""",0.071
"TRPJM/ ""teraphim""",0.07
"ZR</ ""seed""",0.07
"BMH/ ""high place""",0.07
">TWN/ ""she-ass""",0.069
"MSK/ ""covering""",0.069
"MZBX/ ""altar""",0.066
">LP=/ ""thousand""",0.066
"ZBX/ ""sacrifice""",0.065
"Y>N/ ""cattle""",0.063
"KN<NJ/ ""Canaanite""",0.063
"ZHB/ ""gold""",0.062
"XQ/ ""portion""",0.061
"RWX/ ""wind""",0.061
">C/ ""fire""",0.061
"XN/ ""grace""",0.06
"NBJ>/ ""prophet""",0.06
"YDQH/ ""justice""",0.059
">JL===/ ""pillar""",0.059
"MCTH/ ""drinking""",0.059
"MQNH/ ""purchase""",0.059
"GML/ ""camel""",0.058
"XMWR/ ""he-ass""",0.058
"CMN/ ""oil""",0.058
"MJM/ ""water""",0.056
"GWRL/ ""lot""",0.055
"LXM/ ""bread""",0.055
"FVN/ ""adversary""",0.054
"RKB/ ""chariot""",0.054
"CPXH/ ""maidservant""",0.054
"GLH/ ""basin""",0.053
"NXCT/ ""bronze""",0.053
"PSX/ ""Passover""",0.053
"PSL/ ""idol""",0.052
"CLL/ ""plunder""",0.051
"JWM/ ""day""",0.05
">BN/ ""stone""",0.049
"QVRT/ ""smoke of sacrifice""",0.049
"NXLH/ ""heritage""",0.049
"KLJ/ ""tool""",0.048
"PH/ ""mouth""",0.047
"XMH/ ""heat""",0.047
"PRD/ ""mule""",0.046
"BQR/ ""cattle""",0.045
"PRZJ/ ""Perizzite""",0.045
"BRD/ ""hail""",0.045
"QRN/ ""horn""",0.045
"CLM/ ""final offer""",0.045
">JLM/ ""porch""",0.045
"CMC/ ""sun""",0.043
"KNP/ ""wing""",0.042
"MYBH/ ""massebe""",0.042
"PRJ/ ""fruit""",0.042
"CC=/ ""linen""",0.042
">RGMN/ ""purple-wool""",0.042
"TKLT/ ""purple wool""",0.042
">P/ ""nose""",0.041
"CQWY/ ""idol""",0.041
"NPC/ ""soul""",0.041
"LB/ ""heart""",0.04
"MMLKH/ ""kingdom""",0.04
"<DWT/ ""reminder""",0.04
"VP/ ""<those unable to march>""",0.04
"MSKH/ ""molten image""",0.039
"TWL<T/ ""worm""",0.039
"FDH/ ""open field""",0.038
"GBWL/ ""boundary""",0.037
"CMJM/ ""heavens""",0.037
"C<R/ ""gate""",0.037
"XYJ/ ""half""",0.036
"MVH/ ""staff""",0.036
"CM/ ""name""",0.036
"JJN/ ""wine""",0.034
"MXNH/ ""camp""",0.034
"XLB=/ ""fat""",0.034
"M>H/ ""hundred""",0.033
"RKWC/ ""property""",0.033
">MRJ/ ""Amorite""",0.033
"DLT/ ""door""",0.033
"<WR=/ ""skin""",0.033
"HR/ ""mountain""",0.032
">HL/ ""tent""",0.03
"<JN/ ""eye""",0.029
">JL=/ ""ram, despot""",0.029
"DM/ ""blood""",0.029
"QWL/ ""sound""",0.029
"BFR/ ""flesh""",0.028
"RGL/ ""foot""",0.028
"<MWD/ ""pillar""",0.027
"XWMH/ ""wall""",0.0
"KP/ ""palm""",0.0
"BFM/ ""balsam-tree""",0.0
"PR/ ""young bull""",0.0
"XLWM/ ""dream""",0.0
"FMLH/ ""mantle""",0.0
"TMRH/ ""palm-ornament""",0.0
"<NN/ ""cloud""",0.0
"BHMH/ ""cattle""",0.0
"<PR/ ""dust""",0.0
"BRJT/ ""covenant""",0.0
"<YM/ ""bone""",0.0
"FRJD/ ""survivor""",0.0
"LBB/ ""heart""",0.0
"NCQ/ ""equipment""",0.0
"FLMH/ ""wrapper""",0.0
"XLL/ ""pierced""",0.0
