"CPXH/ ""maidservant""",0.412
">JC/ ""man""",0.34
"XMWR/ ""he-ass""",0.333
"FR/ ""chief""",0.319
"BN/ ""son""",0.303
"GML/ ""camel""",0.302
">TWN/ ""she-ass""",0.295
"<M/ ""people""",0.288
"BQR/ ""cattle""",0.286
"Y>N/ ""cattle""",0.264
">CH/ ""woman""",0.252
"N<R/ ""boy""",0.248
"PLCTJ/ ""Philistine""",0.244
"BGD/ ""garment""",0.241
"MLK/ ""king""",0.239
"KSP/ ""silver""",0.238
"PR<H/ ""pharaoh""",0.237
"BT/ ""daughter""",0.236
"KHN/ ""priest""",0.235
"JLD/ ""boy""",0.231
"NBJ>/ ""prophet""",0.223
"ZQN/ ""old""",0.211
">LHJM/ ""god(s)""",0.207
">LP=/ ""thousand""",0.204
"GBWR/ ""vigorous""",0.204
"SWS/ ""horse""",0.203
"XRB/ ""dagger""",0.201
"ML>K/ ""messenger""",0.199
"ZHB/ ""gold""",0.197
"NFJ>/ ""chief""",0.191
"LWJ/ ""Levite""",0.182
">X/ ""brother""",0.182
"MQNH/ ""purchase""",0.181
"MNXH/ ""present""",0.18
"XJL/ ""power""",0.178
">DM/ ""human, mankind""",0.177
">WYR/ ""supply""",0.17
"<DH/ ""gathering""",0.169
"QDC/ ""holiness""",0.169
"SPR/ ""letter""",0.168
"MYWH/ ""commandment""",0.166
"VP/ ""<those unable to march>""",0.163
"C>RJT/ ""rest""",0.161
"BJT/ ""house""",0.16
"KTNT/ ""tunic""",0.16
"SRJS/ ""official""",0.159
">RY/ ""earth""",0.157
">HL/ ""tent""",0.156
"B<L/ ""lord, baal""",0.155
"<JR/ ""town""",0.151
">JL=/ ""ram, despot""",0.15
">B/ ""father""",0.15
"NPC/ ""soul""",0.149
">RWN/ ""ark""",0.146
"RKB/ ""chariot""",0.142
"M>H/ ""hundred""",0.141
"RKWC/ ""property""",0.14
"JHWDJ/ ""Jewish""",0.136
"KN<NJ/ ""Canaanite""",0.131
"QHL/ ""assembly""",0.131
">M/ ""mother""",0.131
"R</ ""evil""",0.128
"MMLKH/ ""kingdom""",0.127
"<Y/ ""tree""",0.122
"BHMH/ ""cattle""",0.121
"FDH/ ""open field""",0.12
"XJH/ ""wild animal""",0.12
"DBR/ ""word""",0.118
"PNH/ ""face""",0.117
"TWRH/ ""instruction""",0.117
"GWJ/ ""people""",0.111
"R>C/ ""head""",0.11
"JD/ ""hand""",0.11
"R<H/ ""evil""",0.107
"MXNH/ ""camp""",0.107
"ZBX/ ""sacrifice""",0.102
"KLJ/ ""tool""",0.101
"DRK/ ""way""",0.099
"XMH/ ""heat""",0.097
"MJM/ ""water""",0.097
"BRD/ ""hail""",0.096
"PRZJ/ ""Perizzite""",0.095
">WT/ ""sign""",0.095
"JM/ ""sea""",0.092
"CMC/ ""sun""",0.09
"XV>T/ ""sin""",0.089
">PD/ ""ephod""",0.088
"LB/ ""heart""",0.085
"KKR/ ""disk""",0.084
"MQWM/ ""place""",0.084
"RWX/ ""wind""",0.084
"XKMH/ ""wisdom""",0.084
"FQ/ ""sack""",0.083
"GLWLJM/ ""idols""",0.081
">BN/ ""stone""",0.078
"KP/ ""palm""",0.078
"C<R/ ""gate""",0.077
"MVH/ ""staff""",0.075
"XYJ/ ""half""",0.073
"ZR</ ""seed""",0.073
">MRJ/ ""Amorite""",0.069
"KBWD/ ""weight""",0.068
"KRWB/ ""cherub""",0.068
"PR/ ""young bull""",0.067
"XQ/ ""portion""",0.065
"YDQH/ ""justice""",0.065
">C/ ""fire""",0.063
